ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,18,28
1,6,6,3,18,45
9,4,4,1,17,38
7,3,3,5,55,66
5,1,5,6,71,80
6,4,5,6,67,76
3,4,1,2,105,115
8,2,1,3,96,115
2,1,1,5,109,139
4,1,1,5,102,132
10,1,5,6,3,11
13,4,1,6,26,52
12,1,5,6,44,52
14,6,5,6,58,67
11,3,6,1,81,101
15,3,2,6,6,23
16,5,4,2,34,46
18,3,3,5,6,17
22,3,3,1,18,29
19,6,1,4,39,61
20,4,1,6,36,70
17,2,5,1,85,102
21,4,2,3,104,113
24,6,1,2,118,128
23,2,1,3,121,140
25,1,1,5,115,145
26,3,2,4,12,25
29,4,2,6,4,30
30,6,4,6,16,28
27,6,1,3,57,69
28,6,1,2,81,90
31,2,5,6,12,21
32,3,5,6,8,17
34,6,4,1,26,52
39,4,3,1,26,43
33,6,3,6,69,84
38,5,2,1,92,101
35,4,6,1,127,149
37,5,6,1,125,147
41,2,6,1,160,180
44,5,5,6,29,38
40,3,1,6,231,252
45,3,1,6,58,79
42,4,6,3,91,106
47,4,1,2,9,18
46,2,2,5,20,34
50,1,1,6,5,39
48,2,5,6,33,41
49,3,2,1,58,66
51,6,1,2,3,12
56,2,2,5,1,21
53,5,4,5,22,31
54,2,5,6,30,38
52,5,4,1,54,74
55,2,3,1,55,66
57,5,1,5,69,87
58,6,1,6,15,41
66,2,3,6,7,21
64,4,5,1,37,66
61,4,3,1,54,71
60,4,6,2,95,114
59,1,6,1,99,129
62,2,6,1,93,123
65,5,2,1,106,115
63,5,1,6,130,151
68,5,1,4,18,39
69,2,3,5,30,47
67,3,1,6,18,56
76,4,4,3,46,56
71,2,4,2,58,77
73,1,4,1,57,84
74,2,3,6,91,105
70,3,1,2,134,142
75,5,6,5,147,157
72,2,6,2,155,180
78,1,1,4,10,27
77,4,1,6,13,41
79,5,1,6,10,38
81,5,4,2,43,55
80,3,1,2,68,76
82,4,1,4,6,21
83,1,6,2,31,60
85,3,4,2,43,55
84,4,5,1,35,66
86,2,4,1,41,63
87,5,2,1,69,78
88,3,1,2,3,13
91,4,1,2,2,12
90,2,1,4,2,31
89,6,3,5,23,40
92,2,4,1,46,60
93,4,3,6,9,24
95,3,6,5,20,28
94,6,1,4,49,64
96,5,1,2,75,84
97,6,1,4,93,108
99,1,1,2,120,130
98,6,1,5,123,147
100,5,1,2,158,167
101,2,1,2,6,14
102,1,1,3,5,21
103,2,6,1,33,53
104,4,1,2,3,12
105,2,1,4,2,23
111,6,4,6,12,29
110,3,5,6,22,30
106,3,1,3,59,72
107,5,1,5,58,82
108,6,6,2,91,109
109,4,1,2,116,125
113,3,1,4,3,19
112,4,1,6,6,35
114,5,4,6,20,32
116,4,1,2,47,57
115,4,1,5,51,76
117,6,5,6,3,12
121,4,3,1,20,38
122,3,2,1,27,36
126,1,2,1,20,29
